timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status
2024-01-01 00:00:00,4,504,53.124161879202674,142,24,44,Cloudy,33.33438747854922,36.39069822190809,0,Red
2024-01-01 00:01:00,5,209,44.94785004124701,862,50,23,Cloudy,17.926830469092273,37.640926582553114,0,Green
2024-01-01 00:02:00,3,572,63.17922899663182,317,12,10,Windy,33.483375393574676,84.26261001965956,1,Red
2024-01-01 00:03:00,5,699,42.269696887144505,709,43,21,Sunny,19.212941445959522,61.5509781758288,0,Yellow
2024-01-01 00:04:00,5,639,72.18579060090265,594,34,14,Cloudy,11.349244035684794,77.49450578357947,0,Red
2024-01-01 00:05:00,2,126,63.82978165752741,503,54,9,Foggy,29.074234717725584,36.917475593016015,1,Red
2024-01-01 00:06:00,3,558,58.86279026377529,184,86,40,Windy,27.58770360220852,85.65856233051571,0,Red
2024-01-01 00:07:00,3,490,67.77443573377126,718,8,26,Foggy,24.94777480658331,79.26852548983261,0,Yellow
2024-01-01 00:08:00,3,303,65.24138209570293,402,1,8,Foggy,22.24734360960435,43.485848686521365,0,Yellow
2024-01-01 00:09:00,5,970,22.1563204952932,228,60,27,Cloudy,10.804131758065784,82.45093399763721,0,Yellow
2024-01-01 00:10:00,4,819,43.68406123068969,758,40,0,Foggy,25.61493128800386,45.806565563808554,0,Green
2024-01-01 00:11:00,3,369,75.84843783898938,451,43,16,Sunny,20.420865380569843,42.32039276034339,0,Red
2024-01-01 00:12:00,5,852,27.543456139533575,408,63,30,Foggy,24.005235068523625,45.85463620873274,0,Yellow
2024-01-01 00:13:00,2,312,64.22579302592308,579,30,43,Cloudy,20.733033549190907,84.59730379635656,1,Green
2024-01-01 00:14:00,4,646,78.47550868011979,243,46,9,Foggy,34.151403319129976,84.93551913089217,0,Yellow
2024-01-01 00:15:00,2,707,23.1319177426983,22,1,36,Windy,25.102722528771178,49.73974648127813,0,Red
2024-01-01 00:16:00,4,884,60.93163283759663,391,95,28,Windy,28.73090826506168,72.32605110567307,0,Green
2024-01-01 00:17:00,5,603,48.08924847806182,706,81,17,Windy,33.40867368677708,70.544715309851,0,Yellow
